RaceID,Date,Meet,State,RaceNo,Winner,Opening,Starting,Fluctuation,FlucCat,PercFlucCat,PercentDiff,1BiggestFluc,2BiggestFluc,Jockey,Trainer,Ground,GroundCat,Favourite,Top2Flucs
1,15/12/22,Hawkesbury,New South Wales,7,Baranof,4.6,3,1.6,Minimal,Decent,0.347826087,NO,NO,Joshua Parr,John Thompson,3,Good,YES,0
2,15/12/22,Kyneton,Victoria,8,Duke Of Neworleans,46,20,26,Huge,Big,0.565217391,NO,YES,Jarrod Fry,P A Chow,5,Soft,NO,1
3,15/12/22,Hawkesbury,New South Wales,1,Hamaki,2.25,1.8,0.45,Minimal,Decent,0.2,NO,YES,Joshua Parr,P & P Snowden,3,Good,YES,1
4,16/12/22,Goulburn,New South Wales,1,Raffish,2.1,2.6,-0.5,Negative,None/Negative,-0.238095238,NO,NO,Koby Jennings,James Ponsonby,4,Good,YES,0
5,16/12/22,Goulburn,New South Wales,2,Master Joe,3.1,1.7,1.4,Minimal,Big,0.451612903,NO,YES,Jeff Penza,Scott Collings,4,Good,YES,1
6,16/12/22,Goulburn,New South Wales,3,Mo More Chicken,7.5,9,-1.5,Negative,None/Negative,-0.2,NO,NO,Jeff Penza,N J Osborne,4,Good,NO,0
7,16/12/22,Goulburn,New South Wales,4,Nieces and Nephews,3.5,3.7,-0.2,Negative,None/Negative,-0.057142857,NO,NO,Ryan Bradley,B Joseph & P & M Jones,4,Good,NO,0
8,16/12/22,Goulburn,New South Wales,5,Jasiri,5,3.7,1.3,Minimal,Decent,0.26,NO,NO,Koby Jennings,M & W & J Hawkes,4,Good,YES,0
9,16/12/22,Goulburn,New South Wales,6,Twig,3.9,5,-1.1,Negative,None/Negative,-0.282051282,NO,NO,Amy Mclucas,Matthew Dale,4,Good,NO,0
10,16/12/22,Goulburn,New South Wales,7,Semana,2.3,1.75,0.55,Minimal,Decent,0.239130435,NO,YES,Jeff Penza,C Maher & D Eustace,4,Good,YES,1
11,16/12/22,Geelong,Victoria,1,Doublern,3.7,3.1,0.6,Minimal,Minimal,0.162162162,NO,NO,Joe Bowditch,Mark & L Kavanagh,4,Good,YES,0
12,16/12/22,Geelong,Victoria,2,Tolpuddle,4,1.8,2.2,Small,Big,0.55,YES,NO,Blaike Mcdougall,G M Begg,4,Good,YES,1
13,16/12/22,Geelong,Victoria,3,Belthil,2.1,1.45,0.65,Minimal,Decent,0.30952381,YES,NO,Harry Coffey,Andrew Bobbin,4,Good,YES,1
14,16/12/22,Geelong,Victoria,4,Aramco,10,4.5,5.5,Big,Big,0.55,YES,NO,Zac Spain,M Price & M K Jnr,4,Good,NO,1
15,16/12/22,Geelong,Victoria,5,Resolutions,5,4.8,0.2,Minimal,Minimal,0.04,NO,NO,Jarrod Fry,T W Mulder,4,Good,NO,0
16,16/12/22,Geelong,Victoria,6,Dyerville,4.2,4,0.2,Minimal,Minimal,0.047619048,NO,NO,Dean Yendall,M J Williams,4,Good,NO,0
17,16/12/22,Geelong,Victoria,7,Bella Babe,4,11,-7,Negative,None/Negative,-1.75,NO,NO,M Chadwick,C Maher & D Eustace,4,Good,NO,0
18,16/12/22,Geelong,Victoria,8,Capital Express,2.7,1.75,0.95,Minimal,Decent,0.351851852,NO,YES,Damien Oliver,Nick Ryan,4,Good,YES,1
19,16/12/22,Ballina,New South Wales,1,Chickerartie,4.2,3.2,1,Minimal,Decent,0.238095238,YES,NO,Les Tilley,S B Lee,3,Good,YES,1
20,16/12/22,Ballina,New South Wales,2,Palawa Kani,4.2,4.8,-0.6,Negative,None/Negative,-0.142857143,NO,NO,Matthew Mcguren,Daniel Bowen,3,Good,NO,0
21,16/12/22,Ballina,New South Wales,3,Seaczar,7.5,14,-6.5,Negative,None/Negative,-0.866666667,NO,YES,Danny Peisley,C R Manson,3,Good,NO,1
22,16/12/22,Ballina,New South Wales,4,I Shot The Sheriff,8,6.5,1.5,Minimal,Minimal,0.1875,NO,NO,John Grisedale,B F Cavanough,3,Good,NO,0
23,16/12/22,Ballina,New South Wales,5,Centre Bounce,2.5,1.85,0.65,Minimal,Decent,0.26,NO,YES,Matthew Mcguren,M J Dunn,3,Good,YES,1
24,16/12/22,Ballina,New South Wales,6,Little Vista,11,6.5,4.5,Small,Big,0.409090909,NO,YES,Morgan Butler,W Bannerot,3,Good,NO,1
25,16/12/22,Ballina,New South Wales,7,Starter,9.5,12,-2.5,Negative,None/Negative,-0.263157895,NO,NO,Luke Dittman,Allan Chau,3,Good,NO,0
26,16/12/22,Ballina,New South Wales,8,The Tyler,7,3.6,3.4,Small,Big,0.485714286,NO,YES,Ben Looker,L J Hatch,3,Good,NO,1
27,16/12/22,Warren,New South Wales,1,Jade Division,7,11,-4,Negative,None/Negative,-0.571428571,NO,NO,S Ingelse,Brett Thompson,5,Soft,NO,0
28,16/12/22,Warren,New South Wales,2,Listen To The Band,5,2.8,2.2,Small,Big,0.44,NO,NO,J Pracey-Holmes,C Lundholm,5,Soft,YES,0
29,16/12/22,Warren,New South Wales,3,No Debt,7.5,5,2.5,Small,Decent,0.333333333,NO,NO,Jake Barrett,Brett Robb,5,Soft,NO,0
30,16/12/22,Warren,New South Wales,4,Allchosen,8,7,1,Minimal,Minimal,0.125,NO,NO,Brooke Stower,G D Lunn,5,Soft,NO,0
31,16/12/22,Warren,New South Wales,5,Not Negotiating,13,11,2,Minimal,Minimal,0.153846154,NO,NO,A Stanley,Peter W Stanley,5,Soft,NO,0
32,16/12/22,Warren,New South Wales,6,Planet Ex,5.5,3.2,2.3,Small,Big,0.418181818,YES,NO,Clayton Gallagher,W Collison,5,Soft,NO,1
33,16/12/22,Warren,New South Wales,7,Lady Lucilla,10,9,1,Minimal,Minimal,0.1,NO,NO,J Pracey-Holmes,C Lundholm,5,Soft,NO,0
34,16/12/22,Rockhampton,Queensland,1,Kings County,15,17,-2,Negative,None/Negative,-0.133333333,NO,NO,Chris Whiteley,Adrian Coome,5,Soft,NO,0
35,16/12/22,Rockhampton,Queensland,2,Mocial Chief,3.4,2.1,1.3,Minimal,Decent,0.382352941,NO,YES,Ashley Butler,K N Smyth,5,Soft,YES,1
36,16/12/22,Rockhampton,Queensland,3,Highground,2.5,1.85,0.65,Minimal,Decent,0.26,NO,NO,Jason Taylor,Nick Walsh,5,Soft,YES,0
37,16/12/22,Rockhampton,Queensland,4,Falsetto,2.4,1.4,1,Minimal,Big,0.416666667,YES,NO,Justin Stanley,Clinton Taylor,5,Soft,YES,1
38,16/12/22,Rockhampton,Queensland,5,Under The Limit,4.6,2.5,2.1,Small,Big,0.456521739,NO,YES,Ashley Butler,R Tyrell & T Button,5,Soft,YES,1
39,16/12/22,Rockhampton,Queensland,6,Art By Concorde,6,5.5,0.5,Minimal,Minimal,0.083333333,NO,NO,Adam Sewell,C Smith,5,Soft,NO,0
40,16/12/22,Rockhampton,Queensland,7,I Promise You,5,2.6,2.4,Small,Big,0.48,YES,NO,Isabella Rabjones,William Kropp,5,Soft,YES,1
41,16/12/22,Rockhampton,Queensland,8,Divine Purpose,2.45,1.7,0.75,Minimal,Decent,0.306122449,NO,YES,Justin Stanley,Clinton Taylor,5,Soft,YES,1
42,17/12/22,Flemington,Victoria,1,She Dances,10,10,0,No Change,None/Negative,0,NO,NO,Luke Nolen,P G Moody,3,Good,NO,0
43,17/12/22,Flemington,Victoria,2,For Real Life,7,9,-2,Negative,None/Negative,-0.285714286,NO,NO,Blaike Mcdougall,L & T Corstens,3,Good,NO,0
44,17/12/22,Flemington,Victoria,3,Pounding,3.4,3.1,0.3,Minimal,Minimal,0.088235294,NO,NO,Jamie Kah,P G Moody,3,Good,YES,0
45,17/12/22,Flemington,Victoria,4,Hasseltoff,12,9,3,Small,Decent,0.25,NO,NO,Craig Williams,Tom Dabernig,3,Good,NO,0
46,17/12/22,Flemington,Victoria,5,Invincible Caviar,4,3,1,Minimal,Decent,0.25,NO,YES,Jamie Kah,P G Moody,3,Good,YES,1
47,17/12/22,Flemington,Victoria,6,Persan,3.1,2.6,0.5,Minimal,Minimal,0.161290323,NO,YES,Harry Coffey,C Maher & D Eustace,3,Good,YES,1
48,17/12/22,Flemington,Victoria,7,Ashford Street,20,10,10,Big,Big,0.5,YES,NO,Teo Nugent,K M Elford,3,Good,NO,1
49,17/12/22,Flemington,Victoria,8,Nicolini Vito,5.5,7.5,-2,Negative,None/Negative,-0.363636364,NO,NO,Damien Oliver,Ben & J D Hayes,3,Good,NO,0
50,17/12/22,Flemington,Victoria,9,He's Xceptional,7.5,9,-1.5,Negative,None/Negative,-0.2,NO,NO,Thomas Stockdale,T Busuttin & N Young,3,Good,NO,0
51,17/12/22,Randwick,New South Wales,1,Lazzago,4.6,8,-3.4,Negative,None/Negative,-0.739130435,NO,NO,Brenton Avdulla,C J Waller,4,Good,NO,0
52,17/12/22,Randwick,New South Wales,2,Super Extreme,4.6,5,-0.4,Negative,None/Negative,-0.086956522,NO,NO,James McDonald,Cameron Crockett,4,Good,YES,0
53,17/12/22,Randwick,New South Wales,3,With Your Blessing,3.3,3.5,-0.2,Negative,None/Negative,-0.060606061,NO,NO,James McDonald,John Thompson,4,Good,YES,0
54,17/12/22,Randwick,New South Wales,4,Global Ausbred,18,11,7,Big,Decent,0.388888889,NO,YES,Tim Clark,Brad Widdup,4,Good,NO,1
55,17/12/22,Randwick,New South Wales,5,Our Bellagio Miss,61,61,0,No Change,None/Negative,0,NO,NO,Jenny Duggan,R & L Price,4,Good,NO,0
56,17/12/22,Randwick,New South Wales,6,Lekvarte,21,5,16,Huge,Huge,0.761904762,NO,YES,Chad Schofield,Joseph Pride,4,Good,NO,1
57,17/12/22,Randwick,New South Wales,7,Colour Sargeant,9.5,14,-4.5,Negative,None/Negative,-0.473684211,NO,NO,Brenton Avdulla,Matthew Smith,4,Good,NO,0
58,17/12/22,Randwick,New South Wales,8,Superium,11,8,3,Small,Decent,0.272727273,NO,NO,Zac Lloyd,M & W & J Hawkes,4,Good,NO,0
59,17/12/22,Randwick,New South Wales,9,I Am Me,1.9,2.4,-0.5,Negative,None/Negative,-0.263157895,NO,NO,James McDonald,C Maher & D Eustace,4,Good,YES,0
60,17/12/22,Randwick,New South Wales,10,Our Modena,18,12,6,Big,Decent,0.333333333,NO,NO,Reece Jones,S I Singleton,4,Good,NO,0
61,18/12/22,Werribee,Victoria,1,Beefeaters,3.5,5.5,-2,Negative,None/Negative,-0.571428571,NO,NO,Michael Poy,C Maher & D Eustace,4,Good,NO,0
62,18/12/22,Werribee,Victoria,2,General Knowledge,20,3.8,16.2,Huge,Huge,0.81,YES,NO,Blaike Mcdougall,M J Ellerton,4,Good,NO,1
63,18/12/22,Werribee,Victoria,3,Bunjil,2.6,1.3,1.3,Minimal,Big,0.5,NO,YES,Dean Holland,T & C McEvoy,4,Good,YES,1
64,18/12/22,Werribee,Victoria,4,Amphactor,4.2,1.8,2.4,Small,Big,0.571428571,YES,NO,Jamie Mott,Mark & L Kavanagh,4,Good,YES,1
65,18/12/22,Werribee,Victoria,5,Adonis Kick,6.5,14,-7.5,Negative,None/Negative,-1.153846154,NO,NO,Tianni Chapman,Peter Gelagotis,4,Good,NO,0
66,18/12/22,Werribee,Victoria,6,Trodaire,5.5,3.4,2.1,Small,Decent,0.381818182,YES,NO,Jamie Mott,Lloyd Kennewell,4,Good,YES,1
67,18/12/22,Werribee,Victoria,7,Harbin,5,4.2,0.8,Minimal,Minimal,0.16,NO,NO,Celine Gaudray,L Smith,4,Good,YES,0
68,18/12/22,Werribee,Victoria,8,Invincible Bay,16,6.5,9.5,Big,Huge,0.59375,NO,YES,Blaike Mcdougall,Lloyd Kennewell,4,Good,NO,1
69,19/12/22,Dubbo,New South Wales,1,Bernforme,14,16,-2,Negative,None/Negative,-0.142857143,NO,NO,Anthony Cavallo,Dar Lunn,4,Good,NO,0
70,19/12/22,Dubbo,New South Wales,2,Ultra White,16,46,-30,Negative,None/Negative,-1.875,NO,NO,J Pracey-Holmes,Paul Theobald,4,Good,NO,0
71,19/12/22,Dubbo,New South Wales,3,Eva's Deel,2.6,1.6,1,Minimal,Decent,0.384615385,YES,NO,Aaron Bullock,M R Mulholland,4,Good,YES,1
72,19/12/22,Dubbo,New South Wales,4,Petain,8,6,2,Minimal,Decent,0.25,NO,NO,Anthony Cavallo,R W Howe,4,Good,NO,0
73,19/12/22,Dubbo,New South Wales,5,Movin' Denman,12,2.9,9.1,Big,Huge,0.758333333,YES,NO,Aaron Bullock,Lyle Chandler,4,Good,YES,1
74,19/12/22,Dubbo,New South Wales,6,Hammoon Money,2.7,3.2,-0.5,Negative,None/Negative,-0.185185185,NO,NO,Clayton Gallagher,Brett Robb,4,Good,NO,0
75,19/12/22,Dubbo,New South Wales,7,Shen Gui,21,5.5,15.5,Huge,Huge,0.738095238,YES,NO,Aaron Bullock,Lou Mary,4,Good,NO,1
76,19/12/22,Corowa,New South Wales,1,My Boy Mo,10,6.5,3.5,Small,Decent,0.35,NO,YES,Brendan Ward,D Scott,4,Good,NO,1
77,19/12/22,Corowa,New South Wales,2,Bubbler,5.5,8.5,-3,Negative,None/Negative,-0.545454545,NO,NO,Josh Richards,G J Colvin,4,Good,NO,0
78,19/12/22,Corowa,New South Wales,3,Incentive,1.55,1.95,-0.4,Negative,None/Negative,-0.258064516,NO,NO,Molly Bourke,Doug Gorrel,4,Good,YES,0
79,19/12/22,Corowa,New South Wales,4,Star of Mattner,23,12,11,Huge,Big,0.47826087,NO,NO,H Williams,Heath Maclean,4,Good,NO,0
80,19/12/22,Corowa,New South Wales,5,Miss Mouse,3.6,2.45,1.15,Minimal,Decent,0.319444444,NO,NO,Jett Stanley,Russell Osborne,4,Good,NO,0
81,19/12/22,Corowa,New South Wales,6,Pretty Panda,23,19,4,Small,Minimal,0.173913043,YES,NO,Jett Stanley,Russell Osborne,4,Good,NO,1
82,19/12/22,Corowa,New South Wales,7,Controversial Miss,11,6,5,Small,Big,0.454545455,NO,NO,Jake Duffy,Craig Weeding,4,Good,NO,0
